11.1518 	WARNING 	Movie2 stim could not be imported and won't be available
23.2122 	EXP 	other_box: fillColor = '#FFFCA6'
23.2291 	EXP 	self_box: fillColor = '#A6A9FF'
23.2291 	EXP 	other_box: fillColor = '#FFFCA6'
23.2458 	EXP 	self_box: fillColor = '#A6A9FF'
23.2458 	EXP 	other_box: fillColor = '#FFFCA6'
23.2625 	EXP 	self_box: fillColor = '#A6A9FF'
23.2625 	EXP 	other_box: fillColor = '#FFFCA6'
23.2791 	EXP 	self_box: fillColor = '#A6A9FF'
23.2791 	EXP 	other_box: fillColor = '#FFFCA6'
23.2958 	EXP 	self_box: fillColor = '#A6A9FF'
23.2958 	EXP 	other_box: fillColor = '#FFFCA6'
23.3124 	EXP 	self_box: fillColor = '#A6A9FF'
23.3124 	EXP 	other_box: fillColor = '#FFFCA6'
23.3291 	EXP 	self_box: fillColor = '#A6A9FF'
23.3291 	EXP 	other_box: fillColor = '#FFFCA6'
23.3458 	EXP 	self_box: fillColor = '#A6A9FF'
23.3458 	EXP 	other_box: fillColor = '#FFFCA6'
23.3626 	EXP 	self_box: fillColor = '#A6A9FF'
23.3626 	EXP 	other_box: fillColor = '#FFFCA6'
23.3793 	EXP 	self_box: fillColor = '#A6A9FF'
23.3793 	EXP 	other_box: fillColor = '#FFFCA6'
23.3959 	EXP 	self_box: fillColor = '#A6A9FF'
23.3959 	EXP 	other_box: fillColor = '#FFFCA6'
23.4127 	EXP 	self_box: fillColor = '#A6A9FF'
23.4127 	EXP 	other_box: fillColor = '#FFFCA6'
23.4293 	EXP 	self_box: fillColor = '#A6A9FF'
23.4293 	EXP 	other_box: fillColor = '#FFFCA6'
23.4460 	EXP 	self_box: fillColor = '#A6A9FF'
23.4460 	EXP 	other_box: fillColor = '#FFFCA6'
23.4627 	EXP 	self_box: fillColor = '#A6A9FF'
23.4627 	EXP 	other_box: fillColor = '#FFFCA6'
23.4793 	EXP 	self_box: fillColor = '#A6A9FF'
23.4793 	EXP 	other_box: fillColor = '#FFFCA6'
23.4961 	EXP 	self_box: fillColor = '#A6A9FF'
23.4961 	EXP 	other_box: fillColor = '#FFFCA6'
23.5128 	EXP 	self_box: fillColor = '#A6A9FF'
23.5128 	EXP 	other_box: fillColor = '#FFFCA6'
23.5295 	EXP 	self_box: fillColor = '#A6A9FF'
23.5295 	EXP 	other_box: fillColor = '#FFFCA6'
23.5461 	EXP 	self_box: fillColor = '#A6A9FF'
23.5461 	EXP 	other_box: fillColor = '#FFFCA6'
23.5629 	EXP 	self_box: fillColor = '#A6A9FF'
23.5629 	EXP 	other_box: fillColor = '#FFFCA6'
23.5795 	EXP 	self_box: fillColor = '#A6A9FF'
23.5795 	EXP 	other_box: fillColor = '#FFFCA6'
