42.9946 	EXP 	self_box: fillColor = '#3E45FA'
42.9946 	EXP 	other_box: fillColor = '#FFFCA6'
43.0133 	EXP 	self_box: fillColor = '#3E45FA'
43.0133 	EXP 	other_box: fillColor = '#FFFCA6'
43.0311 	EXP 	self_box: fillColor = '#3E45FA'
43.0311 	EXP 	other_box: fillColor = '#FFFCA6'
43.0442 	EXP 	self_box: fillColor = '#3E45FA'
43.0442 	EXP 	other_box: fillColor = '#FFFCA6'
43.0612 	EXP 	self_box: fillColor = '#3E45FA'
43.0612 	EXP 	other_box: fillColor = '#FFFCA6'
43.0801 	EXP 	self_box: fillColor = '#3E45FA'
43.0801 	EXP 	other_box: fillColor = '#FFFCA6'
43.0999 	EXP 	self_box: fillColor = '#3E45FA'
43.0999 	EXP 	other_box: fillColor = '#FFFCA6'
43.1113 	EXP 	self_box: fillColor = '#3E45FA'
43.1113 	EXP 	other_box: fillColor = '#FFFCA6'
43.1283 	EXP 	self_box: fillColor = '#3E45FA'
43.1283 	EXP 	other_box: fillColor = '#FFFCA6'
43.1470 	EXP 	self_box: fillColor = '#3E45FA'
43.1470 	EXP 	other_box: fillColor = '#FFFCA6'
43.1664 	EXP 	self_box: fillColor = '#3E45FA'
43.1664 	EXP 	other_box: fillColor = '#FFFCA6'
43.1774 	EXP 	self_box: fillColor = '#3E45FA'
43.1774 	EXP 	other_box: fillColor = '#FFFCA6'
43.1942 	EXP 	self_box: fillColor = '#3E45FA'
43.1942 	EXP 	other_box: fillColor = '#FFFCA6'
43.2108 	EXP 	self_box: fillColor = '#3E45FA'
43.2108 	EXP 	other_box: fillColor = '#FFFCA6'
43.2274 	EXP 	self_box: fillColor = '#3E45FA'
43.2274 	EXP 	other_box: fillColor = '#FFFCA6'
43.2491 	EXP 	self_box: fillColor = '#3E45FA'
43.2491 	EXP 	other_box: fillColor = '#FFFCA6'
43.2671 	EXP 	self_box: fillColor = '#3E45FA'
43.2671 	EXP 	other_box: fillColor = '#FFFCA6'
43.2779 	EXP 	self_box: fillColor = '#3E45FA'
43.2779 	EXP 	other_box: fillColor = '#FFFCA6'
43.2955 	EXP 	self_box: fillColor = '#3E45FA'
43.2955 	EXP 	other_box: fillColor = '#FFFCA6'
43.3164 	EXP 	self_box: fillColor = '#3E45FA'
43.3164 	EXP 	other_box: fillColor = '#FFFCA6'
43.3319 	EXP 	self_box: fillColor = '#3E45FA'
43.3319 	EXP 	other_box: fillColor = '#FFFCA6'
43.3445 	EXP 	self_box: fillColor = '#3E45FA'
43.3445 	EXP 	other_box: fillColor = '#FFFCA6'
43.3615 	EXP 	self_box: fillColor = '#3E45FA'
43.3615 	EXP 	other_box: fillColor = '#FFFCA6'
43.3830 	EXP 	self_box: fillColor = '#3E45FA'
43.3830 	EXP 	other_box: fillColor = '#FFFCA6'
43.4007 	EXP 	self_box: fillColor = '#3E45FA'
43.4007 	EXP 	other_box: fillColor = '#FFFCA6'
43.4114 	EXP 	self_box: fillColor = '#3E45FA'
43.4114 	EXP 	other_box: fillColor = '#FFFCA6'
43.4280 	EXP 	self_box: fillColor = '#3E45FA'
43.4280 	EXP 	other_box: fillColor = '#FFFCA6'
43.4452 	EXP 	self_box: fillColor = '#3E45FA'
43.4452 	EXP 	other_box: fillColor = '#FFFCA6'
43.4646 	EXP 	self_box: fillColor = '#A6A9FF'
43.4646 	EXP 	other_box: fillColor = '#FFFCA6'
43.4823 	EXP 	self_box: fillColor = '#A6A9FF'
43.4823 	EXP 	other_box: fillColor = '#FFFCA6'
