Rank,Word,Word,Source Monitoring,Source Memory,Part of speech,Frequency,Dispersion,imagery,imagSD,concrete,conSD,categor,catSD,meaning,meanSD,familiar,famSD,NOAttr,NOAsd,pleasant,pleaSD
4653,rim,rim,4,,n1,5676,0.91,5.03,1.96,5.07,2.13,4.25,1.71,3.94,1.77,5.75,1.57,3.11,1.43,4.1,1.21M
1974,rise,rise,5,,n1,18055,0.96,4.45,1.86,3.64,2.02,3.72,2.02,4.73,1.74,6.2,1.46,3.25,1.65,4.75,1.37
452,role,role,6,,n1,88666,0.92,3.79,2.22,3.31,1.91,3.55,1.59,4.38,1.75,5.98,1.49,4,1.99,3.58,1.35
1747,root,root,7,,n1,20774,0.96,5.59,1.68,5.54,1.91,5.17,1.69,4.43,1.78,6.28,1.23,3.38,1.57,4.29,1.56
2393,round,round,8,,n1,14539,0.93,5.82,1.66,4.34,1.97,4.97,1.77,4.89,1.7,6.23,1.46,3.44,1.67,4.49,1.28
634,rule,rule,9,,n1,61062,0.95,4.09,2.12,2.82,1.5,4.22,1.73,4.42,1.52,6.08,1.43,4.11,1.63,2.87,1.24
4517,sack,sack,,1,n1,5880,0.92,5.42,1.75,5.78,1.67,4.45,1.93,4.47,1.72,6.13,1.45,3.52,1.69,3.85,1.2
1580,salt,salt,,2,n1,24711,0.9,5.54,1.65,5.69,1.97,6.03,1.52,3.97,2.02,6.44,1.07,2.93,1.81,4.37,1.27
1227,scale,scale,,3,n1,34375,0.88,4.6,2.28,4.82,2.2,4.32,1.69,4.05,1.48,5.82,1.62,3.84,1.61,3.56,1.19
4200,seal,seal,,4,n1,6543,0.92,4.98,1.98,5.44,1.92,5.47,1.85,3.98,1.84,5.97,1.38,3.85,1.61,4.4,1.24
897,seat,seat,1,,n1,44404,0.95,5.36,1.96,5.51,1.86,5.02,1.73,4.69,1.79,6.58,0.87,3.6,1.8,4.07,1.12
408,sense,sense,2,,n1,95896,0.97,3.58,2.01,3.02,2.12,3.78,1.85,4.84,1.69,6.2,1.19,4.3,1.74,4.98,1.41
4485,shark,shark,3,,n1,6164,0.88,5.96,1.63,6.07,1.71,6.52,1.05,4.23,1.74,5.9,1.43,4.05,1.86,3.01,1.48F
4253,sheep,sheep,4,,n1,6320,0.94,6.09,1.57,6.18,1.69,5.98,1.82,4.44,2.09,6.26,1.37,3.61,2.05,3.83,1.75
2582,shell,shell,5,,n1,12957,0.94,5.75,1.64,5.93,1.64,5.02,1.88,4.15,1.69,5.98,1.35,4.22,1.66,4.24,1.62F
1345,shop,shop,6,,n1,28589,0.95,5.46,1.75,5,2.2,4.65,1.9,5.18,1.58,6.47,1.26,4.16,1.62,4.43,1.24
249,side,side,7,,n1,152559,0.96,3.8,2.06,3.9,1.86,3.72,1.64,3.8,1.81,6.4,1.19,3.28,1.6,3.65,1.02
4009,silk,silk,8,,n1,7128,0.91,5.04,2.05,5.34,2.07,5.57,1.8,3.68,1.76,5.56,1.81,3.81,1.65,5.05,1.56
2060,sleep,sleep,9,,n1,17882,0.92,5.3,1.84,4.8,1.87,4.85,1.85,4.75,1.58,6.53,0.92,3.92,1.64,5.41,1.55
3010,tail,tail,,1,n1,10663,0.92,5.45,1.84,6.09,1.43,5.32,1.91,4.73,1.69,6.07,1.41,3.64,1.39,3.9,1.57
2048,taste,taste,,2,n1,17409,0.96,4.42,2.08,4.6,2.04,4.27,2.02,4.31,1.68,6.22,1.19,4.34,1.91,5.24,1.21F
510,tax,tax,,3,n1,80713,0.92,4.27,2,4.34,2.13,4.93,1.75,3.98,1.63,6,1.55,4.59,1.83,2.81,1.4
2183,tea,tea,,4,n1,16373,0.92,5.93,1.55,6.05,1.54,5.8,1.68,4.49,1.84,6.46,0.99,3.23,1.61,4.01,1.74
1919,tear,tear,1,,n1,19819,0.9,5.02,1.88,4.69,2.13,3.47,1.74,4.98,1.6,6.18,1.3,3.15,1.48,3.01,1.51
627,term,term,2,,n1,62962,0.94,3.46,1.92,3.63,2.02,3.93,1.72,4.5,1.66,6.35,1.2,3.84,1.62,3.43,1.07
576,test,test,3,,n1,69870,0.94,5.22,1.94,5.16,2.12,4.87,1.93,4.87,1.84,6.4,1.15,5.13,1.88,2.82,1.41
1665,theme,theme,4,,n1,22494,0.93,3.89,2.24,3.32,1.91,3.65,1.74,4.34,1.59,5.98,1.48,3.7,1.96,3.75,1.35M
97,thing,thing,5,,n1,400724,0.94,3.52,2.07,3.46,2.17,2.62,1.91,4.79,2.18,6.61,1,4.62,2.31,3.84,1.41
52,time,time,6,,n1,764657,0.98,3.91,2.32,3.84,2.32,4.03,2.14,4.53,2.06,6.39,1.16,4.58,2.17,4.15,1.49
1942,tip,tip,7,,n1,18868,0.93,4.85,1.82,4.55,1.93,4.08,1.81,3.74,1.71,5.58,1.7,3.1,1.67,4.45,1.3
4233,trace,trace,8,,n1,6345,0.94,3.78,1.88,3.67,1.99,3.5,1.81,3.71,1.44,6.05,1.47,3,1.47,4.01,1.28
853,truth,truth,9,,n1,45155,0.97,4.22,2.17,2.72,2.13,3.8,2.01,4.52,1.91,6.31,1.25,4.28,2.29,5.66,1.47
